p_symbol,last_close,last_volume,avg_volume,pct_change_1_day,pct_change_1_week,pct_change_1_month,pct_change_3_months,pct_change_1_year,sma_5,ema_5,sma_13,ema_13,sma_20,ema_20,sma_34,ema_34,sma_50,ema_50,sma_89,ema_89,sma_200,ema_200,bband_upper,bband_lower,bband_mid,macd,macd_signal,macd_hist,adx,dmi_plus,dmi_minus,rsi,stoch_k,stoch_d,cci,psar,true_range,atr,williams_r,trix,stochrsi_k,stochrsi_d,momentum,candle,p_date
20MICRONS,38.7,82097,140278.7,0.26,-1.4,29.87,36.99,41.24,38.95,38.86,39.17,37.88,36.09,36.61,33.23,34.76,32.02,33.53,31.41,32.05,30.11,30.32,44.88,27.31,36.09,2.36,2.39,-0.03,42.26,27.42,10.63,69.64,27.36,40.17,-91.79,45,1.25,2.14,-41.18,0.35,4.84,11.33,8.9,NO PATTERN,26-08-2016
3IINFOTECH,5.25,1699379,3993250.94,-0.94,-4.55,1.94,32.91,72.13,5.44,5.37,5.45,5.38,5.29,5.33,5.23,5.22,5.18,5.1,4.72,4.89,4.6,4.54,5.92,4.66,5.29,0.1,0.12,-0.02,28.4,25.55,20.36,49.27,25,38.89,-109.93,6.3,0.2,0.35,-72.41,0.34,0,14.5,0.1,NO PATTERN,26-08-2016
3MINDIA,12991.55,326,1241.8,-0.24,-1.49,-13.02,2.3,19.93,13142.1,13095.1,13146.12,13227.68,13380.12,13317.77,13626.87,13354.79,13350.67,13282.8,13166.48,12973.25,11916.33,12156.91,14203.02,12557.22,13380.12,-141.33,-93.12,-48.21,16.53,21.44,19.51,39.26,16.88,28.51,-105.72,13415.86,239.75,340.65,-94.82,0.13,0,11.04,-1945.05,Engulfing Line - Bearish,26-08-2016
A2ZINFRA,37.7,194562,1426623.72,-2.84,-5.99,-11.61,49.9,40.15,38.86,38.46,37.97,38.63,38.7,38.87,40.2,38.71,39.69,37.76,33.96,34.98,28.06,30.66,41.66,35.73,38.7,-0.33,-0.29,-0.03,17.15,18.98,25.04,44.95,40.02,53.91,-150.46,34.94,2,2.07,-49.25,0.49,0,22.54,-4.95,NO PATTERN,26-08-2016
AARTIDRUGS,486.7,13989,18702.48,-0.09,-1.11,-8.81,3.79,-24.35,492.8,490.24,489.93,492.26,495.23,493.46,500.58,492.27,487.6,489.46,477.77,487.5,498.83,512.57,521.25,469.21,495.23,-1.37,-0.13,-1.24,19.41,19.19,17.72,46.39,37.82,59.61,-78.42,465.27,14.9,17.36,-47.23,0.12,0,33.33,-47.05,NO PATTERN,26-08-2016
AARTIIND,605.75,31911,61915.4,2.05,1.97,8.79,17.35,41.55,596.41,597.94,591.51,589.32,579.61,581.44,563.8,568.29,547.87,557.37,534.15,540.17,510.6,513.7,616.58,542.63,579.61,15.15,14.85,0.3,39.26,22.36,8.11,64.37,70.21,53.9,110.84,575,21.75,18.85,-13.94,0.23,54.97,41.01,48.95,Engulfing Line - Bullish,26-08-2016
AARVEEDEN,74.15,7270,56283.48,0.88,-0.34,1.37,26.64,10.59,73.73,73.8,74.15,73.48,72.47,73.26,72.74,72.74,74.28,71.68,67.76,68.75,61.48,64.26,78.18,66.77,72.47,0.43,0.34,0.09,23.95,25.71,12.27,52.91,29.85,24.6,11.58,69.67,3.15,3.85,-57.29,0.23,100,64.62,1,NO PATTERN,26-08-2016
ABAN,215.7,543525,1205081.78,-1.21,-3.14,-3.14,8.09,-25.01,220.06,218.29,216.48,217.81,216.16,217.77,220.26,217.37,218.08,215.93,212.81,212.24,202.42,215.87,224.74,207.59,216.16,0.13,-0.24,0.38,11.55,23.27,21.79,47.33,25.93,41.52,-134.15,211.35,4.8,6.48,-63.39,0.11,0,21.96,-7,NO PATTERN,26-08-2016
ABB,1148.2,19802,56403.58,-0.87,-1.1,-10.59,-8.43,-12.19,1154.16,1156,1170.27,1172.89,1190.44,1186.79,1227.1,1203.89,1225.79,1213.05,1234.86,1216.29,1181.25,1201.31,1257.41,1123.47,1190.44,-24.96,-21.76,-3.2,37.21,9.08,23.75,31.3,33.88,31.4,-64.12,1141.92,25.65,28.7,-92.22,-0.05,33.93,74.53,-135.95,NO PATTERN,26-08-2016
ABBOTINDIA,4707.5,21340,1996.92,-0.42,0.61,0.93,-0.93,-0.01,4683.02,4694.3,4685.03,4687.12,4686.01,4684.78,4692.52,4676.82,4655.29,4671.81,4639.16,4694.54,4898.86,4863.36,4746.31,4625.71,4686.01,5.83,5.69,0.14,9.86,22,12.01,53.82,56.7,41.42,77.52,4584.7,245.3,93.44,-49.94,0.02,69.39,77.23,43.15,Doji,26-08-2016
ABFRL,163.75,364870,853722.8,0.4,-0.67,12.89,21.75,-26.37,165.59,163.94,158.9,159.56,154.32,156.33,149.49,152.11,145.82,149.74,144.4,150.2,168.24,168.5,171.39,137.26,154.32,5.9,4.9,0.99,42.8,29.23,9.45,64.56,33.83,52.65,-87.84,158.59,5.05,6.79,-42.66,0.14,5.4,1.8,18.7,NO PATTERN,26-08-2016
ABGSHIP,28.15,154665,312858.12,-2.76,-1.4,-8.6,11.26,-81.77,28.71,28.58,28.39,28.7,28.76,28.99,29.93,29.62,30.53,30.6,31.57,35.06,48.31,59.49,30.31,27.2,28.76,-0.59,-0.71,0.13,16.27,22.99,17.91,39.86,29.63,43.02,-83.33,27.32,1.4,1.34,-65.43,-0.34,0,60.72,-2.65,NO PATTERN,26-08-2016
ABIRLANUVO,1291.35,368561,810951.06,0.85,-0.96,-6.91,23.48,-42.89,1281.41,1288.87,1340.27,1325.43,1397.07,1338.79,1361.76,1323.1,1291.17,1285.94,1149.09,1231.92,1279.07,1422.9,1651.15,1142.99,1397.07,-14.86,9.35,-24.21,36.68,18.14,25.79,45.25,51.7,51.68,87.92,1495.03,19.5,65.61,-75.27,0.59,100,73.29,-95.8,NO PATTERN,26-08-2016
ABIRLANUVO-1M,1300.55,1453500,2396605,1.63,-0.17,-6.48,23.4,-42.69,1284.17,1292.68,1342.5,1328.41,1400.34,1341.82,1365.2,1326.37,1294.86,1289.37,1152.78,1235.47,1282.77,1426.87,1655.68,1145,1400.34,-15,8.87,-23.87,36.78,17.95,26.24,45.98,56.01,52.01,135.6,1498.14,27.9,65.89,-73.46,0.59,100,77.82,-90.1,,26-08-2016
ABIRLANUVO-2M,1309.25,7500,399330,1.42,-0.08,-6.42,25.87,-36.72,1293.51,1301.86,1352.18,1336.66,1406.51,1348.99,1371.11,1330.99,1296.88,1293.09,1141.46,1250.11,1379.31,1482.33,1659.51,1153.51,1406.51,-12.68,11.43,-24.12,25.54,22.76,32.94,46.23,56.42,51.39,119.75,1505.64,18.35,62.23,-73.76,0.61,100,80.76,-89.8,,26-08-2016
ACC,1638.2,132820,285546.82,-0.46,-3.13,-1.62,7.57,18.08,1649.4,1649.71,1657.35,1658.65,1668.25,1658.39,1658.22,1646.71,1634.97,1625.71,1564.62,1572.33,1425.15,1480.51,1722.27,1614.23,1668.25,3.51,10.3,-6.79,21.43,18.05,26.71,45.92,21.21,24.5,-104.12,1595.92,40.65,36.66,-64.44,0.2,0,0,-26.95,NO PATTERN,26-08-2016
ACC-1M,1650.8,607200,859034,0.33,-2.53,-0.97,7.66,18.51,1653.51,1654.97,1660.6,1662.69,1672.17,1662.4,1662.54,1650.87,1639.36,1629.98,1569.31,1576.47,1427.88,1483.68,1726.27,1618.07,1672.17,3.52,9.85,-6.33,20.42,21.61,22.15,48.15,23.49,25.71,-36.25,1695.12,38,35.02,-61.22,0.2,34.02,11.34,-16.1,,26-08-2016
ACC-2M,1681.95,2000,167944,1.51,-1.31,0.83,10.36,20.1,1669.23,1672.71,1670.87,1675.08,1682.35,1672.57,1667.41,1658.59,1643.85,1636.35,1573.99,1581.58,1431.5,1488.18,1741.52,1623.18,1682.35,7.44,12.26,-4.83,19.85,24.8,25.66,53.22,34.64,30.74,53.1,1703.45,25,31.16,-46.15,0.21,100,33.33,13.8,,26-08-2016
ACCELYA,1220.4,2428,4119.32,0.83,-3.75,0.45,12.68,19.5,1240.11,1233.36,1238.48,1235.87,1232.51,1229.92,1220.8,1212.75,1189.62,1190.1,1132.59,1138.99,1007.23,1062.52,1274.12,1190.9,1232.51,13.29,18.04,-4.75,33.1,20.14,19.41,49.57,30.09,43.64,-91.96,1276.44,25,33.8,-73.89,0.27,18.02,6.01,5.5,NO PATTERN,26-08-2016
ACE,42.4,67486,315118.12,-1.74,-2.86,-12.76,4.05,-8.03,42.92,42.9,43.63,43.71,44.94,44.21,45.41,44.46,44.81,44.2,42.93,43.31,41.6,42.56,49.78,40.1,44.94,-0.8,-0.48,-0.32,15.5,17.65,18.3,42.08,18.35,28.33,-131.31,46.4,1.35,1.99,-89.39,0.17,0,22.51,-6.2,NO PATTERN,26-08-2016
ACROPETAL,2.3,6600,11363.98,-4.17,-2.13,-9.8,-8,-20.69,2.31,2.33,2.38,2.38,2.44,2.41,2.47,2.44,2.46,2.46,2.53,2.53,2.77,2.69,2.67,2.22,2.44,-0.05,-0.03,-0.02,20.3,13.54,17.98,41.96,70,52.78,63.49,2.4,0.1,0.13,-66.67,-0.08,52.05,63.08,-0.25,NO PATTERN,26-08-2016
ADANIENT,72.25,2378177,3960861.92,-1.37,-6.11,-12.79,-1.5,-16.38,73.96,73.72,75.25,75.13,76.1,76.08,78.55,77.14,79.31,77.52,78.09,77.39,76.09,77.94,80.4,71.81,76.1,-1.68,-1.38,-0.3,14.56,15.21,23.84,37.05,13.29,17.47,-133.94,77.34,2.3,2.68,-94.33,0.01,0,10.75,-10.6,NO PATTERN,26-08-2016
